BODYTYPE ,MAKE ,GENERIC MODEL ,BATTERY TYPE,CAPACITY(KWH),TOTAL_CAPACITY(KWH),MINERALS(KGS),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
BUSES AND COACHES,BYD,BYD ENVIRO,Lithium Iron Phosphate,324.00,281556.00,868131.00,349,190,47,0,0,0,0,0,0,0,0,0,586
BUSES AND COACHES,WRIGHTBUS,WRIGHTBUS STREETDECK,Lithium-ion,288.00,26784.00,82584.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSES AND COACHES,YUTONG,YUTONG E12,Lithium-ion,314.00,37994.00,117148.17,93,0,0,0,0,0,0,0,0,0,0,0,93
BUSES AND COACHES,OPTARE,OPTARE SOLO,Lithium-ion,91.00,3458.00,10662.17,0,0,0,0,0,0,5,27,0,6,0,0,38
BUSES AND COACHES,YUTONG,YUTONG TC12,Lithium-ion,258.00,5934.00,18296.50,0,16,0,0,0,0,0,0,0,0,0,0,16
BUSES AND COACHES,CAETANO,CAETANO CITY,Lithium-ion,316.00,11060.00,34101.67,0,35,0,0,0,0,0,0,0,0,0,0,35
BUSES AND COACHES,OPTARE,OPTARE METRODECKER,Lithium Titanate,75.00,6450.00,19887.50,33,27,26,0,0,0,0,0,0,0,0,0,86
BUSES AND COACHES,OPTARE,OPTARE VERSA,Lithium-ion,91.00,2093.00,6453.42,0,0,0,0,0,0,13,0,10,0,0,0,23
BUSES AND COACHES,WRIGHTBUS,WRIGHTBUS ELECTROCITY,Lithium-ion,180.00,1080.00,3330.00,0,0,0,0,6,0,0,0,0,0,0,0,6
BUSES AND COACHES,WRIGHTBUS,WRIGHTBUS STREETDECK,Lithium-ion,288.00,8640.00,26640.00,15,5,0,0,0,0,0,0,0,0,0,0,20
BUSES AND COACHES,WRIGHTBUS,WRIGHTBUS STREETLITE,Lithium-ion,180.00,1440.00,4440.00,0,0,0,0,0,0,0,0,8,0,0,0,8
BUSES AND COACHES,YUTONG,YUTONG E10,Lithium-ion,258.00,2322.00,7159.50,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSES AND COACHES,YUTONG,YUTONG TC9,Lithium-ion,230.00,4140.00,12765.00,0,18,0,0,0,0,0,0,0,0,0,0,18
CARS,TESLA,TESLA MODEL Y,Lithium-ion,87.50,1807487.50,5573086.46,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,KIA,KIA NIRO,Lithium-ion,51.60,1488402.00,4589239.50,12268,6535,681,0,0,0,0,0,0,0,0,0,19484
CARS,NISSAN,NISSAN LEAF,Lithium-ion,51.00,2859315.00,8816221.25,9069,8233,5280,5415,5667,4665,5240,4051,1814,695,640,0,50769
CARS,TESLA,TESLA MODEL 3,Lithium-ion,62.50,4959625.00,15292177.08,34786,22349,10649,0,0,0,0,0,0,0,0,0,67784
CARS,HYUNDAI,HYUNDAI IONIQ,Lithium-ion,38.45,607740.70,1873867.16,5401,2735,473,443,250,69,0,0,0,0,0,0,9371
CARS,VOLKSWAGEN,VOLKSWAGEN ID3,Lithium-ion,61.00,1382565.00,4262908.75,10984,4836,0,0,0,0,0,0,0,0,0,0,15820
CARS,FORD,FORD KUGA,Lithium-ion,16.45,240449.65,741386.42,6139,2633,0,0,0,0,0,0,0,0,0,0,8772
CARS,MG,MG 5,Lithium-ion,61.10,655786.30,2022007.76,5073,273,0,0,0,0,0,0,0,0,0,0,5346
CARS,MINI,MINI COOPER,Lithium-ion,28.90,425581.40,1312209.32,6579,3350,11,0,0,0,0,0,0,0,0,0,9940
CARS,MG,MG ZS,Lithium-ion,44.50,716005.00,2207682.08,5379,5588,657,0,0,0,0,0,0,0,0,0,11624
CARS,CUPRA,CUPRA BORN,Lithium-ion,61.00,160247.00,494094.92,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,BMW,BMW IX3,Lithium-ion,74.00,553076.00,1705317.67,3072,0,0,0,0,0,0,0,0,0,0,0,3072
CARS,HYUNDAI,HYUNDAI KONA,Lithium-ion,39.20,685098.40,2112386.73,7197,4248,863,222,0,0,0,0,0,0,0,0,12530
CARS,AUDI,AUDI E-TRON,Lithium-ion,83.00,1647384.00,5079434.00,7904,5899,1112,0,0,0,0,0,0,0,0,0,14915
CARS,VAUXHALL,VAUXHALL MOKKA,Lithium-ion,53.35,373610.05,1151964.32,2668,0,0,0,0,0,0,0,0,0,0,0,2668
CARS,SKODA,SKODA ENYAQ,Lithium-ion,72.00,477000.00,1470750.00,3251,0,0,0,0,0,0,0,0,0,0,0,3251
CARS,RENAULT,RENAULT ZOE,Lithium-ion,53.50,1408387.50,4342528.13,5750,6360,2380,1981,1174,1760,2053,1015,376,0,0,0,22849
CARS,JAGUAR,JAGUAR I-PACE,Lithium-ion,92.10,2084407.20,6426922.20,5204,8298,4195,836,0,0,0,0,0,0,0,0,18533
CARS,BMW,BMW I4,Lithium-ion,80.70,242907.00,748963.25,94,0,0,0,0,0,0,0,0,0,0,0,94
CARS,PEUGEOT,PEUGEOT 2008,Lithium-ion,57.00,567720.00,1750470.00,4757,1800,0,0,0,0,0,0,0,0,0,0,6557
CARS,MERCEDES,MERCEDES EQC CLASS,Lithium-ion,80.00,924640.00,2850973.33,4250,3098,151,0,0,0,0,0,0,0,0,0,7499
CARS,BMW,BMW 3 SERIES,Lithium-ion,63.05,2763292.35,8520151.41,10987,9408,4491,4616,5871,3510,0,0,0,0,0,0,38883
CARS,AUDI,AUDI Q4,Lithium-ion,64.90,492591.00,1518822.25,3858,0,0,0,0,0,0,0,0,0,0,0,3858
CARS,LAND ROVER,LAND ROVER RANGE ROVER EVOQUE,Lithium-ion,47.50,424555.00,1309044.58,4535,1191,0,0,0,0,0,0,0,0,0,0,5726
CARS,PEUGEOT,PEUGEOT 208,Lithium-ion,57.00,615144.00,1896694.00,4318,2740,0,0,0,0,0,0,0,0,0,0,7058
CARS,BMW,BMW IX,Lithium-ion,100.00,361200.00,1113700.00,399,0,0,0,0,0,0,0,0,0,0,0,399
CARS,BMW,BMW X5,Lithium-ion,67.75,548571.75,1691429.56,3700,1470,336,0,0,0,0,0,0,0,0,0,5506
CARS,FORD,FORD MUSTANG MACH-E,Lithium-ion,78.00,492804.00,1519479.00,2739,37,0,0,0,0,0,0,0,0,0,0,2776
CARS,POLESTAR,POLESTAR 2,Lithium-ion,78.00,691236.00,2131311.00,4094,848,0,0,0,0,0,0,0,0,0,0,4942
CARS,VOLKSWAGEN,VOLKSWAGEN ID4,Lithium-ion,67.00,528563.00,1629735.92,4485,0,0,0,0,0,0,0,0,0,0,0,4485
CARS,KIA,KIA EV6,Lithium-ion,67.70,309253.60,953531.93,920,0,0,0,0,0,0,0,0,0,0,0,920
CARS,VOLVO,VOLVO XC40,Lithium-ion,84.00,1188348.00,3664073.00,6345,3549,0,0,0,0,0,0,0,0,0,0,9894
CARS,FIAT,FIAT 500,Lithium-ion,42.00,295428.00,910903.00,2630,0,0,0,0,0,0,0,0,0,0,0,2630
CARS,AUDI,AUDI A3,Lithium-ion,58.00,729234.00,2248471.50,5752,1420,0,531,637,567,1198,66,0,0,0,0,10171
CARS,MERCEDES,MERCEDES EQA CLASS,Lithium-ion,66.50,568442.00,1752696.17,5109,0,0,0,0,0,0,0,0,0,0,0,5109
CARS,HYUNDAI,HYUNDAI TUCSON,Lithium-ion,64.00,200000.00,616666.67,882,0,0,0,0,0,0,0,0,0,0,0,882
CARS,VAUXHALL,VAUXHALL CORSA,Lithium-ion,50.00,595950.00,1837512.50,5607,2857,0,0,0,0,0,0,0,0,0,0,8464
CARS,VOLVO,VOLVO XC90,Lithium-ion,78.00,955032.00,2944682.00,2546,1608,1573,1169,1793,1600,38,0,0,0,0,0,10327
CARS,KIA,KIA SPORTAGE,Lithium-ion,77.40,96595.20,297835.20,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,CITROEN,CITROEN C4,Lithium-ion,50.00,207150.00,638712.50,1346,0,0,0,0,0,0,0,0,0,0,0,1346
CARS,VOLKSWAGEN,VOLKSWAGEN ID5,Lithium-ion,58.00,49358.00,152187.17,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MERCEDES,MERCEDES EQB CLASS,Lithium-ion,66.50,131736.50,406187.54,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MERCEDES,MERCEDES CLA CLASS,Lithium-ion,66.50,283024.00,872657.33,1469,1001,0,0,0,0,0,0,0,0,0,0,2470
CARS,BMW,BMW I3,Lithium-ion,42.20,785004.40,2420430.23,3597,4448,4093,1209,981,593,603,556,94,0,0,0,16174
CARS,NISSAN,NISSAN ARIYA,Lithium-ion,63.00,36351.00,112082.25,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,VOLKSWAGEN,VOLKSWAGEN GOLF,Lithium-ion,35.80,467261.60,1440723.27,1682,1441,6,3334,2409,1893,1380,0,0,0,0,0,12145
CARS,PORSCHE,PORSCHE TAYCAN,Lithium-ion,79.20,811008.00,2500608.00,4018,3128,0,0,0,0,0,0,0,0,0,0,7146
CARS,MG,MG 4,Lithium-ion,44.50,23184.50,71485.54,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MINI,MINI COUNTRYMAN,Lithium-ion,29.70,380189.70,1172251.58,2435,2103,3772,2305,974,0,0,0,0,0,0,0,11589
CARS,TOYOTA,TOYOTA RAV4,Lithium-ion,40.40,142612.00,439720.33,1552,0,0,0,0,0,0,0,0,0,0,0,1552
CARS,LAND ROVER,LAND ROVER DISCOVERY,Lithium-ion,90.00,412740.00,1272615.00,2497,557,0,0,0,0,0,0,0,0,0,0,3054
CARS,VOLVO,VOLVO XC40,Lithium-ion,84.00,249060.00,767935.00,1798,0,0,0,0,0,0,0,0,0,0,0,1798
CARS,BMW,BMW 5 SERIES,Lithium-ion,71.00,1259469.00,3883362.75,2112,1318,4355,6571,1982,0,0,0,0,0,0,0,16338
CARS,MERCEDES,MERCEDES GLE CLASS,Lithium-ion,80.00,256960.00,792293.33,1274,480,0,0,0,0,0,0,0,0,0,0,1754
CARS,KIA,KIA NIRO,Lithium-ion,51.60,420901.20,1297778.70,2281,2059,1091,1271,295,0,0,0,0,0,0,0,6997
CARS,AUDI,AUDI Q3,Lithium-ion,51.50,67207.50,207223.13,553,0,0,0,0,0,0,0,0,0,0,0,553
CARS,VOLVO,VOLVO XC60,Lithium-ion,78.00,713076.00,2198651.00,3537,2072,1005,882,178,0,0,0,0,0,0,0,7674
CARS,MG,MG HS,Lithium-ion,44.50,162291.50,500398.79,1623,174,0,0,0,0,0,0,0,0,0,0,1797
CARS,LEXUS,LEXUS NX 450,Lithium-ion,74.60,75196.80,231856.80,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,BMW,BMW X3,Lithium-ion,80.00,333200.00,1027366.67,2392,736,0,0,0,0,0,0,0,0,0,0,3128
CARS,VOLKSWAGEN,VOLKSWAGEN TIGUAN,Lithium-ion,77.00,58828.00,181386.33,354,0,0,0,0,0,0,0,0,0,0,0,354
CARS,JEEP,JEEP COMPASS,Lithium-ion,11.40,7752.00,23902.00,48,0,0,0,0,0,0,0,0,0,0,0,48
CARS,VOLVO,VOLVO C40,Lithium-ion,78.00,72384.00,223184.00,29,0,0,0,0,0,0,0,0,0,0,0,29
CARS,MERCEDES,MERCEDES EQS CLASS,Lithium-ion,98.50,57031.50,175847.13,7,0,0,0,0,0,0,0,0,0,0,0,7
CARS,JAGUAR,JAGUAR F-PACE,Lithium-ion,90.00,145440.00,448440.00,719,0,0,0,0,0,0,0,0,0,0,0,719
CARS,MERCEDES,MERCEDES EQE CLASS,Lithium-ion,90.00,30780.00,94905.00,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,KIA,KIA SOUL,Lithium-ion,64.00,245568.00,757168.00,1136,884,30,423,215,157,129,20,0,0,0,0,2994
CARS,VOLKSWAGEN,VOLKSWAGEN PASSAT,Lithium-ion,13.00,81055.00,249919.58,1081,955,270,1618,1445,183,0,0,0,0,0,0,5552
CARS,PEUGEOT,PEUGEOT 3008,Lithium-ion,55.00,292710.00,902522.50,2295,1076,0,0,0,0,0,0,0,0,0,0,3371
CARS,MAZDA,MAZDA MX-30,Lithium-ion,35.50,98406.00,303418.50,2042,0,0,0,0,0,0,0,0,0,0,0,2042
CARS,JAGUAR,JAGUAR E-PACE,Lithium-ion,90.00,71010.00,218947.50,500,0,0,0,0,0,0,0,0,0,0,0,500
CARS,GENESIS,GENESIS GV60,Lithium-ion,77.40,18266.40,56321.40,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MERCEDES,MERCEDES GLA CLASS,Lithium-ion,66.50,192185.00,592570.42,1677,394,0,0,0,0,0,0,0,0,0,0,2071
CARS,BMW,BMW X2,Lithium-ion,62.00,114204.00,352129.00,1027,185,0,0,0,0,0,0,0,0,0,0,1212
CARS,PEUGEOT,PEUGEOT 308,Lithium-ion,55.00,29480.00,90896.67,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,CITROEN,CITROEN C5,Lithium-ion,50.00,88850.00,273954.17,682,284,0,0,0,0,0,0,0,0,0,0,966
CARS,SKODA,SKODA OCTAVIA,Lithium-ion,67.70,198834.90,613074.28,2173,18,0,0,0,0,0,0,0,0,0,0,2191
CARS,PORSCHE,PORSCHE CAYENNE,Lithium-ion,14.10,34389.90,106035.53,455,444,822,285,0,0,0,0,0,0,0,0,2006
CARS,HYUNDAI,HYUNDAI SANTA FE,Lithium-ion,13.80,7438.20,22934.45,186,0,0,0,0,0,0,0,0,0,0,0,186
CARS,HYUNDAI,HYUNDAI IONIQ,Lithium-ion,38.45,160451.85,494726.54,703,895,888,987,315,0,0,0,0,0,0,0,3788
CARS,DS,DS DS4,Lithium-ion,50.00,10550.00,32529.17,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,DS,DS DS7,Lithium-ion,13.20,7814.40,24094.40,214,154,0,0,0,0,0,0,0,0,0,0,368
