VEHICLE TYPE,MAKE,GENERIC MODEL,BODY TYPE,BATTERY TYPE,CAPACITY(KWH),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
BUSES AND COACHES,BYD,BYD ENVIRO,ELECTRIC BUS,LITHIUM IRON PHOSPHATE,324,349,190,47,0,0,0,0,0,0,0,0,0,586
BUSES AND COACHES,WRIGHTBUS,WRIGHTBUS STREETDECK,DOUBLE-DECKER BUS,LITHIUM-ION,288,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSES AND COACHES,YUTONG,YUTONG E12,ELECTRIC BUS,LITHIUM-ION,314,93,0,0,0,0,0,0,0,0,0,0,0,93
BUSES AND COACHES,OPTARE,OPTARE SOLO,ELECTRIC BUS,LITHIUM-ION,91,0,0,0,0,0,0,5,27,0,6,0,0,38
BUSES AND COACHES,YUTONG,YUTONG TC12,COACH/MINIBUS,LITHIUM-ION,258,0,16,0,0,0,0,0,0,0,0,0,0,16
BUSES AND COACHES,CAETANO,CAETANO CITY,ELECTRIC BUS,LITHIUM-ION,316,0,35,0,0,0,0,0,0,0,0,0,0,35
BUSES AND COACHES,OPTARE,OPTARE METRODECKER,ELECTRIC BUS,LITHIUM TITANATE,75,33,27,26,0,0,0,0,0,0,0,0,0,86
BUSES AND COACHES,OPTARE,OPTARE VERSA,ELECTRIC BUS,LITHIUM-ION,91,0,0,0,0,0,0,13,0,10,0,0,0,23
BUSES AND COACHES,WRIGHTBUS,WRIGHTBUS ELECTROCITY,ELECTRIC BUS,LITHIUM-ION,180,0,0,0,0,6,0,0,0,0,0,0,0,6
BUSES AND COACHES,WRIGHTBUS,WRIGHTBUS STREETDECK,DOUBLE-DECKER BUS,LITHIUM-ION,288,15,5,0,0,0,0,0,0,0,0,0,0,20
BUSES AND COACHES,WRIGHTBUS,WRIGHTBUS STREETLITE,ELECTRIC BUS,LITHIUM-ION,180,0,0,0,0,0,0,0,0,8,0,0,0,8
BUSES AND COACHES,YUTONG,YUTONG E10,ELECTRIC BUS,LITHIUM-ION,258,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSES AND COACHES,YUTONG,YUTONG TC9,COACH/MINIBUS,LITHIUM-ION,230,0,18,0,0,0,0,0,0,0,0,0,0,18
CARS,TESLA,TESLA MODEL Y,SUV,LITHIUM-ION,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,KIA,KIA NIRO,SUV,LITHIUM-ION,51.6,12268,6535,681,0,0,0,0,0,0,0,0,0,19484
CARS,NISSAN,NISSAN LEAF,ELECTRIC CAR,LITHIUM-ION,51,9069,8233,5280,5415,5667,4665,5240,4051,1814,695,640,0,50769
CARS,TESLA,TESLA MODEL 3,SEDAN,LITHIUM-ION,62.5,34786,22349,10649,0,0,0,0,0,0,0,0,0,67784
CARS,HYUNDAI,HYUNDAI IONIQ,HATCHBACK,LITHIUM-ION,38.45,5401,2735,473,443,250,69,0,0,0,0,0,0,9371
CARS,VOLKSWAGEN,VOLKSWAGEN ID3,ELECTRIC CAR,LITHIUM-ION,61,10984,4836,0,0,0,0,0,0,0,0,0,0,15820
CARS,FORD,FORD KUGA,SUV,LITHIUM-ION,16.45,6139,2633,0,0,0,0,0,0,0,0,0,0,8772
CARS,MG,MG 5,HATCHBACK,LITHIUM-ION,61.1,5073,273,0,0,0,0,0,0,0,0,0,0,5346
CARS,MINI,MINI COOPER,HATCHBACK,LITHIUM-ION,28.9,6579,3350,11,0,0,0,0,0,0,0,0,0,9940
CARS,MG,MG ZS,SUV,LITHIUM-ION,44.5,5379,5588,657,0,0,0,0,0,0,0,0,0,11624
CARS,CUPRA,CUPRA BORN,HATCHBACK,LITHIUM-ION,61,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,BMW,BMW IX3,SUV,LITHIUM-ION,74,3072,0,0,0,0,0,0,0,0,0,0,0,3072
CARS,HYUNDAI,HYUNDAI KONA,SUV,LITHIUM-ION,39.2,7197,4248,863,222,0,0,0,0,0,0,0,0,12530
CARS,AUDI,AUDI E-TRON,SUV,LITHIUM-ION,83,7904,5899,1112,0,0,0,0,0,0,0,0,0,14915
CARS,VAUXHALL,VAUXHALL MOKKA,SUV,LITHIUM-ION,53.35,2668,0,0,0,0,0,0,0,0,0,0,0,2668
CARS,SKODA,SKODA ENYAQ,SUV,LITHIUM-ION,72,3251,0,0,0,0,0,0,0,0,0,0,0,3251
CARS,RENAULT,RENAULT ZOE,ELECTRIC CAR,LITHIUM-ION,53.5,5750,6360,2380,1981,1174,1760,2053,1015,376,0,0,0,22849
CARS,JAGUAR,JAGUAR I-PACE,SUV,LITHIUM-ION,92.1,5204,8298,4195,836,0,0,0,0,0,0,0,0,18533
CARS,BMW,BMW I4,SEDAN,LITHIUM-ION,80.7,94,0,0,0,0,0,0,0,0,0,0,0,94
CARS,PEUGEOT,PEUGEOT 2008,SUV,LITHIUM-ION,57,4757,1800,0,0,0,0,0,0,0,0,0,0,6557
CARS,MERCEDES,MERCEDES EQC CLASS,SUV,LITHIUM-ION,80,4250,3098,151,0,0,0,0,0,0,0,0,0,7499
CARS,BMW,BMW 3 SERIES,SEDAN,LITHIUM-ION,63.05,10987,9408,4491,4616,5871,3510,0,0,0,0,0,0,38883
CARS,AUDI,AUDI Q4,SUV,LITHIUM-ION,64.9,3858,0,0,0,0,0,0,0,0,0,0,0,3858
CARS,LAND ROVER,LAND ROVER RANGE ROVER EVOQUE,SUV,LITHIUM-ION,47.5,4535,1191,0,0,0,0,0,0,0,0,0,0,5726
CARS,PEUGEOT,PEUGEOT 208,HATCHBACK,LITHIUM-ION,57,4318,2740,0,0,0,0,0,0,0,0,0,0,7058
CARS,BMW,BMW IX,SUV,LITHIUM-ION,100,399,0,0,0,0,0,0,0,0,0,0,0,399
